emp_no,birth_date,first_name,last_name,gender,hire_date
10001,9/2/1953,Georgi,Facello,M,6/26/1986
10002,6/2/1964,Bezalel,Simmel,F,11/21/1985
10003,12/3/1959,Parto,Bamford,M,8/28/1986
10004,5/1/1954,Chirstian,Koblick,M,12/1/1986
10005,1/21/1955,Kyoichi,Maliniak,M,9/12/1989
10006,4/20/1953,Anneke,Preusig,F,6/2/1989
10007,5/23/1957,Tzvetan,Zielinski,F,2/10/1989
10008,2/19/1958,Saniya,Kalloufi,M,9/15/1994
10009,4/19/1952,Sumant,Peac,F,2/18/1985
10010,6/1/1963,Duangkaew,Piveteau,F,8/24/1989
